"GEOID","IntSub","IntNoSub","noInt","total","IntSubPct","IntNoSubPct","NoIntPct","year","ZCTA"
"5425245",174,9,111,294,59.18,3.06,37.76,2019,"25245"
"5425268",279,10,65,354,78.81,2.82,18.36,2019,"25268"
"5425286",452,10,151,613,73.74,1.63,24.63,2019,"25286"
"5425303",2649,44,277,2970,89.19,1.48,9.33,2019,"25303"
"5425311",3857,94,1137,5088,75.81,1.85,22.35,2019,"25311"
"5425419",3599,61,528,4188,85.94,1.46,12.61,2019,"25419"
"5425434",703,58,191,952,73.84,6.09,20.06,2019,"25434"
"5425446",487,0,20,507,96.06,0,3.94,2019,"25446"
"5425106",235,1,41,277,84.84,0.36,14.8,2019,"25106"
"5425501",322,0,167,489,65.85,0,34.15,2019,"25501"
"5425507",244,12,66,322,75.78,3.73,20.5,2019,"25507"
"5425515",638,29,196,863,73.93,3.36,22.71,2019,"25515"
"5425520",186,73,255,514,36.19,14.2,49.61,2019,"25520"
"5425535",647,43,157,847,76.39,5.08,18.54,2019,"25535"
"5425564",345,36,55,436,79.13,8.26,12.61,2019,"25564"
"5425601",1901,20,419,2340,81.24,0.85,17.91,2019,"25601"
"5425606",542,0,0,542,100,0,0,2019,"25606"
"5425608",349,8,126,483,72.26,1.66,26.09,2019,"25608"
"5425617",218,24,69,311,70.1,7.72,22.19,2019,"25617"
"5425621",486,35,224,745,65.23,4.7,30.07,2019,"25621"
"5425628",99,15,0,114,86.84,13.16,0,2019,"25628"
"5425632",138,0,81,219,63.01,0,36.99,2019,"25632"
"5425644",97,0,16,113,85.84,0,14.16,2019,"25644"
"5425671",392,24,129,545,71.93,4.4,23.67,2019,"25671"
"5425817",180,40,44,264,68.18,15.15,16.67,2019,"25817"
"5425818",226,12,0,238,94.96,5.04,0,2019,"25818"
"5425836",133,0,0,133,100,0,0,2019,"25836"
"5425843",323,21,85,429,75.29,4.9,19.81,2019,"25843"
"5425666",139,0,84,223,62.33,0,37.67,2019,"25666"
"5425650",82,0,29,111,73.87,0,26.13,2019,"25650"
"5426541",849,0,147,996,85.24,0,14.76,2019,"26541"
"5426576",270,0,0,270,100,0,0,2019,"26576"
"5426627",114,0,37,151,75.5,0,24.5,2019,"26627"
"5426629",48,0,98,146,32.88,0,67.12,2019,"26629"
"5426676",107,0,31,138,77.54,0,22.46,2019,"26676"
"5426680",106,0,0,106,100,0,0,2019,"26680"
"5426714",70,0,106,176,39.77,0,60.23,2019,"26714"
"5426726",4017,176,880,5073,79.18,3.47,17.35,2019,"26726"
"5426731",117,0,57,174,67.24,0,32.76,2019,"26731"
"5426753",1951,26,449,2426,80.42,1.07,18.51,2019,"26753"
"5426757",1817,74,868,2759,65.86,2.68,31.46,2019,"26757"
"5426804",140,62,63,265,52.83,23.4,23.77,2019,"26804"
"5426823",76,0,51,127,59.84,0,40.16,2019,"26823"
"5426855",173,0,116,289,59.86,0,40.14,2019,"26855"
"5426003",12330,843,3783,16956,72.72,4.97,22.31,2019,"26003"
"5426031",445,18,215,678,65.63,2.65,31.71,2019,"26031"
"5426150",2142,42,275,2459,87.11,1.71,11.18,2019,"26150"
"5426152",36,0,0,36,100,0,0,2019,"26152"
"5426159",971,31,221,1223,79.39,2.53,18.07,2019,"26159"
"5426180",678,0,279,957,70.85,0,29.15,2019,"26180"
"5426184",790,0,139,929,85.04,0,14.96,2019,"26184"
"5426217",65,0,71,136,47.79,0,52.21,2019,"26217"
"5426224",81,26,14,121,66.94,21.49,11.57,2019,"26224"
"5426259",0,0,13,13,0,0,100,2019,"26259"
"5426269",299,0,89,388,77.06,0,22.94,2019,"26269"
"5426278",147,10,105,262,56.11,3.82,40.08,2019,"26278"
"5426294",233,53,154,440,52.95,12.05,35,2019,"26294"
"5426327",17,0,0,17,100,0,0,2019,"26327"
"3728119",740,20,334,1094,67.64,1.83,30.53,2019,"28119"
"5426034",1633,38,447,2118,77.1,1.79,21.1,2019,"26034"
"5426037",2168,165,500,2833,76.53,5.82,17.65,2019,"26037"
"5426062",7055,207,1586,8848,79.74,2.34,17.92,2019,"26062"
"5426143",1288,70,514,1872,68.8,3.74,27.46,2019,"26143"
"5426149",560,30,175,765,73.2,3.92,22.88,2019,"26149"
"5426201",5881,283,1610,7774,75.65,3.64,20.71,2019,"26201"
"5426266",22,0,21,43,51.16,0,48.84,2019,"26266"
"5426267",80,0,11,91,87.91,0,12.09,2019,"26267"
"5426292",174,18,79,271,64.21,6.64,29.15,2019,"26292"
"5426320",135,0,146,281,48.04,0,51.96,2019,"26320"
"5426347",678,3,139,820,82.68,0.37,16.95,2019,"26347"
"5426385",1143,95,271,1509,75.75,6.3,17.96,2019,"26385"
"5426411",168,38,70,276,60.87,13.77,25.36,2019,"26411"
"5426419",300,0,118,418,71.77,0,28.23,2019,"26419"
"5426430",80,2,55,137,58.39,1.46,40.15,2019,"26430"
"5426440",419,0,105,524,79.96,0,20.04,2019,"26440"
"5426447",311,6,219,536,58.02,1.12,40.86,2019,"26447"
"5426519",550,19,204,773,71.15,2.46,26.39,2019,"26519"
"5426554",14135,359,2534,17028,83.01,2.11,14.88,2019,"26554"
"5426570",929,71,297,1297,71.63,5.47,22.9,2019,"26570"
"5426587",132,0,26,158,83.54,0,16.46,2019,"26587"
"5426611",59,0,43,102,57.84,0,42.16,2019,"26611"
"5426623",284,10,176,470,60.43,2.13,37.45,2019,"26623"
"5426624",943,52,242,1237,76.23,4.2,19.56,2019,"26624"
"5426443",56,0,54,110,50.91,0,49.09,2019,"26443"
"5426562",160,8,10,178,89.89,4.49,5.62,2019,"26562"
"5426621",228,0,95,323,70.59,0,29.41,2019,"26621"
"5426833",535,0,211,746,71.72,0,28.28,2019,"26833"
"5426169",184,8,52,244,75.41,3.28,21.31,2019,"26169"
"5426291",55,0,0,55,100,0,0,2019,"26291"
"5426408",993,0,142,1135,87.49,0,12.51,2019,"26408"
"5426705",178,0,45,223,79.82,0,20.18,2019,"26705"
"5426707",88,0,19,107,82.24,0,17.76,2019,"26707"
"5426719",1020,0,245,1265,80.63,0,19.37,2019,"26719"
"5426801",230,0,136,366,62.84,0,37.16,2019,"26801"
"5426808",229,0,150,379,60.42,0,39.58,2019,"26808"
"5426814",120,0,47,167,71.86,0,28.14,2019,"26814"
"5426836",2367,93,541,3001,78.87,3.1,18.03,2019,"26836"
"5426852",205,16,89,310,66.13,5.16,28.71,2019,"26852"
"5426374",391,19,99,509,76.82,3.73,19.45,2019,"26374"
"5426537",1645,22,521,2188,75.18,1.01,23.81,2019,"26537"
"5426710",685,0,127,812,84.36,0,15.64,2019,"26710"
"5426716",217,0,64,281,77.22,0,22.78,2019,"26716"
"5426717",226,5,88,319,70.85,1.57,27.59,2019,"26717"
"5426743",459,0,143,602,76.25,0,23.75,2019,"26743"
"5426750",243,8,79,330,73.64,2.42,23.94,2019,"26750"
"5426560",49,0,17,66,74.24,0,25.76,2019,"26560"
"5426335",502,6,142,650,77.23,0.92,21.85,2019,"26335"
"5426254",43,34,28,105,40.95,32.38,26.67,2019,"26254"
"5426563",193,0,9,202,95.54,0,4.46,2019,"26563"
"5426591",486,0,66,552,88.04,0,11.96,2019,"26591"
"5426178",77,0,28,105,73.33,0,26.67,2019,"26178"
"5426425",253,0,199,452,55.97,0,44.03,2019,"26425"
"5426559",444,6,52,502,88.45,1.2,10.36,2019,"26559"
"5426631",23,0,85,108,21.3,0,78.7,2019,"26631"
"5426030",161,26,38,225,71.56,11.56,16.89,2019,"26030"
"5426170",1755,83,461,2299,76.34,3.61,20.05,2019,"26170"
"5426268",7,0,10,17,41.18,0,58.82,2019,"26268"
"4217953",128,5,61,194,65.98,2.58,31.44,2019,"17953"
"5426321",103,9,48,160,64.38,5.62,30,2019,"26321"
"5426412",86,0,84,170,50.59,0,49.41,2019,"26412"
"3727890",548,61,433,1042,52.59,5.85,41.55,2019,"27890"
"3727958",3700,140,395,4235,87.37,3.31,9.33,2019,"27958"
"3727101",5901,458,2272,8631,68.37,5.31,26.32,2019,"27101"
"3727283",956,69,180,1205,79.34,5.73,14.94,2019,"27283"
"3727834",18022,1257,3993,23272,77.44,5.4,17.16,2019,"27834"
"3727873",122,1,38,161,75.78,0.62,23.6,2019,"27873"
"3727925",983,37,498,1518,64.76,2.44,32.81,2019,"27925"
"3727973",461,35,121,617,74.72,5.67,19.61,2019,"27973"
"3727110",0,0,0,0,NA,NA,NA,2019,"27110"
"3727201",11,0,19,30,36.67,0,63.33,2019,"27201"
"3727205",9977,415,2734,13126,76.01,3.16,20.83,2019,"27205"
"3727332",8630,598,1435,10663,80.93,5.61,13.46,2019,"27332"
"3727340",37,0,0,37,100,0,0,2019,"27340"
"3727517",10627,663,366,11656,91.17,5.69,3.14,2019,"27517"
"3727518",7958,133,176,8267,96.26,1.61,2.13,2019,"27518"
"3727519",18878,391,438,19707,95.79,1.98,2.22,2019,"27519"
"3727523",4132,113,181,4426,93.36,2.55,4.09,2019,"27523"
"3727527",7768,65,454,8287,93.74,0.78,5.48,2019,"27527"
"3727531",0,0,0,0,NA,NA,NA,2019,"27531"
"3727537",6595,168,1980,8743,75.43,1.92,22.65,2019,"27537"
"3727539",7578,68,504,8150,92.98,0.83,6.18,2019,"27539"
"3727556",43,1,70,114,37.72,0.88,61.4,2019,"27556"
"3727574",4419,99,1259,5777,76.49,1.71,21.79,2019,"27574"
"3727617",8625,376,311,9312,92.62,4.04,3.34,2019,"27617"
"3727709",403,0,19,422,95.5,0,4.5,2019,"27709"
"3727825",12,3,13,28,42.86,10.71,46.43,2019,"27825"
"3727861",9,0,8,17,52.94,0,47.06,2019,"27861"
"3727879",88,2,38,128,68.75,1.56,29.69,2019,"27879"
"3727881",26,0,8,34,76.47,0,23.53,2019,"27881"
"3727978",42,0,39,81,51.85,0,48.15,2019,"27978"
"3727577",6952,255,2388,9595,72.45,2.66,24.89,2019,"27577"
"3727016",416,12,131,559,74.42,2.15,23.43,2019,"27016"
"3727326",942,32,375,1349,69.83,2.37,27.8,2019,"27326"
"3727356",834,27,182,1043,79.96,2.59,17.45,2019,"27356"
"3727408",6840,484,790,8114,84.3,5.96,9.74,2019,"27408"
"3727504",3870,310,1252,5432,71.24,5.71,23.05,2019,"27504"
"3727513",17356,170,585,18111,95.83,0.94,3.23,2019,"27513"
"3727520",12416,653,1968,15037,82.57,4.34,13.09,2019,"27520"
"3727525",4414,128,1328,5870,75.2,2.18,22.62,2019,"27525"
"3727530",12443,326,2953,15722,79.14,2.07,18.78,2019,"27530"
"3727534",11305,292,1690,13287,85.08,2.2,12.72,2019,"27534"
"3727536",4115,208,1985,6308,65.23,3.3,31.47,2019,"27536"
"3727540",12122,161,563,12846,94.36,1.25,4.38,2019,"27540"
"3727560",13094,215,470,13779,95.03,1.56,3.41,2019,"27560"
"3727587",22641,401,1180,24222,93.47,1.66,4.87,2019,"27587"
"3727866",203,19,108,330,61.52,5.76,32.73,2019,"27866"
"3727892",3955,390,1429,5774,68.5,6.75,24.75,2019,"27892"
"3727924",798,42,688,1528,52.23,2.75,45.03,2019,"27924"
"3727928",478,19,302,799,59.82,2.38,37.8,2019,"27928"
"3727935",580,0,132,712,81.46,0,18.54,2019,"27935"
"3727937",1270,89,316,1675,75.82,5.31,18.87,2019,"27937"
"3727962",2123,79,919,3121,68.02,2.53,29.45,2019,"27962"
"5426234",455,0,254,709,64.17,0,35.83,2019,"26234"
"3727850",2099,235,968,3302,63.57,7.12,29.32,2019,"27850"
"3727871",1136,105,523,1764,64.4,5.95,29.65,2019,"27871"
"3727874",796,134,814,1744,45.64,7.68,46.67,2019,"27874"
"4217025",6255,70,966,7291,85.79,0.96,13.25,2019,"17025"
"3728144",6924,359,1993,9276,74.64,3.87,21.49,2019,"28144"
"3728150",6659,788,3117,10564,63.03,7.46,29.51,2019,"28150"
"3728168",3026,120,808,3954,76.53,3.03,20.44,2019,"28168"
"3728173",17413,243,583,18239,95.47,1.33,3.2,2019,"28173"
"3728205",16639,448,3007,20094,82.81,2.23,14.96,2019,"28205"
"3728214",12553,232,1474,14259,88.04,1.63,10.34,2019,"28214"
"3728307",4509,74,116,4699,95.96,1.57,2.47,2019,"28307"
"3728315",4029,49,880,4958,81.26,0.99,17.75,2019,"28315"
"3728318",1341,22,337,1700,78.88,1.29,19.82,2019,"28318"
"3728320",2709,144,1007,3860,70.18,3.73,26.09,2019,"28320"
"3728333",3016,61,929,4006,75.29,1.52,23.19,2019,"28333"
"3728730",3043,50,480,3573,85.17,1.4,13.43,2019,"28730"
"3728480",1070,39,67,1176,90.99,3.32,5.7,2019,"28480"
"3728715",8226,480,1632,10338,79.57,4.64,15.79,2019,"28715"
"3728716",5112,440,1779,7331,69.73,6,24.27,2019,"28716"
"3728729",1209,62,182,1453,83.21,4.27,12.53,2019,"28729"
"3728732",6349,142,975,7466,85.04,1.9,13.06,2019,"28732"
"3728733",15,0,0,15,100,0,0,2019,"28733"
"3728001",8382,230,1781,10393,80.65,2.21,17.14,2019,"28001"
"3728007",205,3,53,261,78.54,1.15,20.31,2019,"28007"
"3728018",1272,124,726,2122,59.94,5.84,34.21,2019,"28018"
"3728020",541,45,206,792,68.31,5.68,26.01,2019,"28020"
"3728025",17355,349,2242,19946,87.01,1.75,11.24,2019,"28025"
"3728072",496,6,52,554,89.53,1.08,9.39,2019,"28072"
"3728432",339,12,229,580,58.45,2.07,39.48,2019,"28432"
"3728394",1934,18,207,2159,89.58,0.83,9.59,2019,"28394"
"3728395",607,3,168,778,78.02,0.39,21.59,2019,"28395"
"3728411",13690,343,941,14974,91.43,2.29,6.28,2019,"28411"
"3728436",424,0,312,736,57.61,0,42.39,2019,"28436"
"3728441",840,20,245,1105,76.02,1.81,22.17,2019,"28441"
"3728443",7571,109,778,8458,89.51,1.29,9.2,2019,"28443"
"3728452",153,0,171,324,47.22,0,52.78,2019,"28452"
"3728458",1428,142,861,2431,58.74,5.84,35.42,2019,"28458"
"3728463",1914,105,1016,3035,63.06,3.46,33.48,2019,"28463"
"3728479",2185,0,478,2663,82.05,0,17.95,2019,"28479"
"3728510",526,30,179,735,71.56,4.08,24.35,2019,"28510"
"3728512",1372,53,188,1613,85.06,3.29,11.66,2019,"28512"
"3728515",607,4,318,929,65.34,0.43,34.23,2019,"28515"
"3728421",354,7,121,482,73.44,1.45,25.1,2019,"28421"
"3728422",2567,174,444,3185,80.6,5.46,13.94,2019,"28422"
"3728423",653,45,221,919,71.06,4.9,24.05,2019,"28423"
"3728430",534,12,263,809,66.01,1.48,32.51,2019,"28430"
"3728445",2587,83,261,2931,88.26,2.83,8.9,2019,"28445"
"3728448",406,0,57,463,87.69,0,12.31,2019,"28448"
"3728449",736,20,39,795,92.58,2.52,4.91,2019,"28449"
"3728468",2141,47,331,2519,84.99,1.87,13.14,2019,"28468"
"3728745",187,31,0,218,85.78,14.22,0,2019,"28745"
"3728751",1369,124,264,1757,77.92,7.06,15.03,2019,"28751"
"3728752",9183,313,2594,12090,75.96,2.59,21.46,2019,"28752"
"3728768",2534,74,516,3124,81.11,2.37,16.52,2019,"28768"
"3728805",7599,167,1505,9271,81.97,1.8,16.23,2019,"28805"
"3728906",6796,313,1811,8920,76.19,3.51,20.3,2019,"28906"
"3728077",132,5,78,215,61.4,2.33,36.28,2019,"28077"
"3728097",2132,33,297,2462,86.6,1.34,12.06,2019,"28097"
"3728103",3420,36,496,3952,86.54,0.91,12.55,2019,"28103"
"3728105",16157,339,1031,17527,92.18,1.93,5.88,2019,"28105"
"3728110",15970,371,1866,18207,87.71,2.04,10.25,2019,"28110"
"3728124",1939,51,259,2249,86.22,2.27,11.52,2019,"28124"
"4219140",11057,1166,6588,18811,58.78,6.2,35.02,2019,"19140"
"4217009",706,16,139,861,82,1.86,16.14,2019,"17009"
"4217010",77,0,0,77,100,0,0,2019,"17010"
"4217033",5603,326,563,6492,86.31,5.02,8.67,2019,"17033"
"4217044",6724,227,2151,9102,73.87,2.49,23.63,2019,"17044"
"4217829",59,3,17,79,74.68,3.8,21.52,2019,"17829"
"4217832",251,5,62,318,78.93,1.57,19.5,2019,"17832"
"4217835",101,0,19,120,84.17,0,15.83,2019,"17835"
"4217845",480,21,184,685,70.07,3.07,26.86,2019,"17845"
"4217861",46,0,18,64,71.88,0,28.12,2019,"17861"
"4217866",2333,72,1019,3424,68.14,2.1,29.76,2019,"17866"
"4217929",530,6,102,638,83.07,0.94,15.99,2019,"17929"
"4217002",92,10,139,241,38.17,4.15,57.68,2019,"17002"
"4217005",108,0,27,135,80,0,20,2019,"17005"
"4217006",240,4,114,358,67.04,1.12,31.84,2019,"17006"
"4217020",2928,68,614,3610,81.11,1.88,17.01,2019,"17020"
