Name1,Name2,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys
ALEXANDER CITY WORK RELEASE CENTER,,P.O. BOX 705,,,ALEXANDER CITY,AL,35010.0,(205)234-7533,Drug
CALHOUN-CLEDURNE MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,331 EAST EIGHTH AVENUE,,,ANNISTON,AL,36202.0,(205)236-3403,Alcoholism/Drug
BOARD OF CORRECTIONS DRUG ABUSE,PROGRAM FOR ALABAMA INMATES,313 NORTH MAIN,P.O. BOX 266,,ATMORE,AL,36504.0,(205)368-1675,Drug
BESSEMER OUTPATIENT TREATMENT CENTER,,1830 THIRD AVENUE,SUITE 308,,BESSEMER,AL,35020.0,(205)426-8020,Drug
ALETHEIA HOUSE INC,,3600 EIGHTH AVENUE SOUTH,SUITE W-110,,BIRMINGHAM,AL,35222.0,(205)324-6502,Drug
BIRMINGHAM WORK RELEASE CENTER,,1216 NORTH 25TH STREET,,,BIRMINGHAM,AL,35234.0,(205)934-6220,Drug
EASTSIDE MENTAL HEALTH CENTER,DRUG ABUSE PROGRAM,7612 FIRST AVENUE NORTH,,,BIRMINGHAM,AL,35206.0,(205)836-7283,Drug
ENGLE DAY TREATMENT CENTER,,1700 SEVENTH AVENUE SOUTH,,,BIRMINGHAM,AL,35294.0,(205)934-3476,Drug
JEFFERSON COUNTY SENIOR CITIZENS PROG,YWCA DRUG PROGRAM,309 23RD STREET NORTH,,,BIRMINGHAM,AL,35203.0,(205)251-2992,Drug
SMOLIAN PSYCHIATRIC OUTPATIENT CLINIC,,1700 SEVENTH AVENUE SOUTH,,,BIRMINGHAM,AL,35294.0,(205)934-2717,Drug
TASC DRUG ABUSE TREATMENT CLINIC,,2127 SEVENTH AVENUE NORTH,,,BIRMINGHAM,AL,35203.0,(205)354-2747,Drug
UNIVERSITY HOSPITAL INPATIENT UNIT,,UNIVERSITY STATION,619 19TH STREET SOUTH,,BIRMINGHAM,AL,35294.0,(205)934-5114,Drug
UNIVERSITY OF ALABAMA IN BIRMINGHAM,METHADONE CLINIC,3015 SEVENTH AVENUE SOUTH,,,BIRMINGHAM,AL,35233.0,(205)934-5060,Drug
WESTERN MENTAL HEALTH CENTER,DRUG ABUSE TREATMENT PROGRAM,1701 AVENUE D ENSLEY,,,BIRMINGHAM,AL,35233.0,(205)788-7770,Drug
\CHEANA MENTAL HEALTH CENTER,CHILDERSBURG WORK RELEASE CENTER,P.O. DRAWER F,,,CHILDERSBURG,AL,35150.0,(205)245-2201EXT.266,Drug
NORTH CENTRAL ALABAMA,SUBSTANCE ABUSE TREATMENT PROGRAM,HIGHWAY 31 SOUTH,,,DECATUR,AL,35601.0,(205)355-6091,Alcoholism/Drug
WIREGRASS MENTAL HEALTH CENTER,CROSSROADS DRUG ABUSE TREATMENT PROG,104 PREVATT,,,DOTHAN,AL,36302.0,(205)794-0731EXT.259,Drug
EUFAULA ADOLESCENT ADJUSTMENT CENTER,DRUG TREATMENT PROGRAM,P.O. BOX 270,,,EUFAULA,AL,36027.0,(205)687-5741EXT.229,Drug
BALDWIN COUNTY MENTAL HEALTH CENTER,RAP-PORT,318 1/2 MAGNOLIA AVENUE,,,FAIRHOPE,AL,36532.0,(205)937-2010,Drug
NORTHWEST ALABAMA MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,TEMPLE AVENUE,P.O. BOX 264,,FAYETTE,AL,35555.0,(205)932-3216,Alcoholism/Drug
RIVERBEND CENTER FOR MENTAL HEALTH,CATALYST DRUG ABUSE PROGRAM,635 WEST COLLEGE STREET,P.O. BOX 941,,FLORENCE,AL,35630.0,(205)764-3431,Drug
THE BRIDGE,DRUG ALERT CENTER,101 HOKE,,,GADSDEN,AL,35903.0,(205)546-6324,Drug
HAMILTON WORK RELEASE CENTER,,ROUTE 1,BOX 16,,HAMILTON,AL,35570.0,(205)921-3832,Drug
HUNTSVILLE MADISON COUNTY,MENTAL HEALTH CENTER,660 GALLATIN STREET,,,HUNTSVILLE,AL,35801.0,(205)533-1970,Alcoholism/Drug
NORTHWEST ALABAMA MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,13 HIGHWAY 78 WEST,,,JASPER,AL,35501.0,(205)387-0541EXT.8,Alcoholism/Drug
